Designator,Mid X,Mid Y,Rotation,Layer
24V1,36.825,-15.0,90.0,top
C1,25.95,-21.0625,270.0,top
C2,27.75,-20.8375,90.0,top
C3,27.2831,-9.05,180.0,top
C4,29.776,-21.1133,270.0,top
C5,32.95,-11.6875,90.0,top
C6,32.95,-15.5375,270.0,top
C7,13.0164,-10.0883,90.0,top
C8,15.15,-10.0875,90.0,top
C9,1.5616,-7.9491,90.0,top
D1,14.6776,-17.4365,270.0,top
D2,20.45,-18.0,180.0,top
D3,16.225,-22.05,180.0,top
D4,36.975,-8.6,180.0,top
D5,5.1,-9.0,180.0,top
D6,5.075,-18.025,180.0,top
EXT1,5.05,-5.9,90.0,top
EXT2,25.55,-5.875,90.0,top
FAN1,14.85,-25.675,0.0,top
L2,20.45,-11.7,180.0,top
Q1,11.462,-21.0,0.0,top
R1,23.5,-22.0,0.0,top
R10,0.95,-21.1125,90.0,top
R11,20.15,-22.0,180.0,top
R12,11.3,-17.4125,270.0,top
R13,15.3,-13.75,90.0,top
R14,39.45,-7.7,270.0,top
R15,8.4375,-9.0,180.0,top
R16,7.9,-18.8875,90.0,top
R2,30.7375,-9.05,180.0,top
R3,30.7625,-18.2,0.0,top
R4,27.31,-18.2,0.0,top
R5,31.3,-21.1125,270.0,top
R6,20.6375,-5.4,0.0,top
R7,20.65,-6.9,180.0,top
R8,12.9256,-17.4125,270.0,top
R9,33.976,-21.0,90.0,top
RGB1,31.7464,-25.675,0.0,top
RGB2,3.8864,-25.675,0.0,top
TH1,23.3,-25.65,0.0,top
U1,37.326,-21.0,0.0,top
U2,4.4,-20.925,0.0,top
U3,28.95,-13.55,90.0,top
U4,5.3,-13.55,180.0,top
